Model,Fold,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Estimated Usage (s),Num Qubits,Median T1,Median T2,Median Read Out Error
SVC_high_low_5D,2,48,34,16,2,0.82,0.8472222222222223,0.82,0.68,0.8164014687882496,0.007639884948730469,0,0,0,0,0,0
SVC_high_low_5D,3,50,37,13,0,0.87,0.8968253968253969,0.87,0.74,0.8677652324280336,0.007678031921386719,0,0,0,0,0,0
SVC_high_low_5D,4,48,34,16,2,0.82,0.8472222222222223,0.82,0.68,0.8164014687882496,0.007642269134521484,0,0,0,0,0,0
SVC_high_low_5D,5,46,34,16,4,0.8,0.8183361629881154,0.8,0.68,0.797077922077922,0.00740814208984375,0,0,0,0,0,0
SVC_high_low_5D,6,50,39,11,0,0.89,0.9098360655737704,0.89,0.78,0.8886526976414618,0.007810115814208984,0,0,0,0,0,0
SVC_high_low_5D,7,49,33,17,1,0.82,0.8565062388591801,0.82,0.66,0.8152709359605911,0.008072853088378906,0,0,0,0,0,0
SVC_high_low_5D,8,50,35,15,0,0.85,0.8846153846153847,0.85,0.7,0.8465473145780051,0.008341073989868164,0,0,0,0,0,0
SVC_high_low_5D,9,49,40,10,1,0.89,0.9030591153369162,0.89,0.8,0.8891017239641092,0.008195161819458008,0,0,0,0,0,0
SVC_high_low_5D,10,48,33,17,2,0.81,0.8406593406593408,0.81,0.66,0.8056265984654732,0.007992267608642578,0,0,0,0,0,0
SVC_high_low_5D_retrained,6_retrained,46,34,16,4,0.8,0.8183361629881154,0.8,0.68,0.797077922077922,0.008281230926513672,0,0,0,0,0,0
SVC_high_low_6D,1,46,44,6,4,0.9,0.9006410256410255,0.9,0.88,0.8999599839935974,0.008569955825805664,0,0,0,0,0,0
SVC_high_low_6D,2,47,36,14,3,0.83,0.8467843631778058,0.83,0.72,0.8279178054458953,0.008279800415039062,0,0,0,0,0,0
SVC_high_low_6D,3,49,38,12,1,0.87,0.8888188314417823,0.87,0.76,0.8684077335762729,0.008517265319824219,0,0,0,0,0,0
SVC_high_low_6D,4,48,35,15,2,0.83,0.853925353925354,0.83,0.7,0.8270776116366596,0.00810694694519043,0,0,0,0,0,0
SVC_high_low_6D,5,46,35,15,4,0.81,0.8257671290458177,0.81,0.7,0.8076728413807066,0.0076580047607421875,0,0,0,0,0,0
SVC_high_low_6D,6,50,42,8,0,0.92,0.9310344827586207,0.92,0.84,0.9194847020933977,0.008404016494750977,0,0,0,0,0,0
SVC_high_low_6D,7,49,35,15,1,0.84,0.8689236111111112,0.84,0.7,0.8368013055895552,0.0079498291015625,0,0,0,0,0,0
SVC_high_low_6D,8,49,38,12,1,0.87,0.8888188314417823,0.87,0.76,0.8684077335762729,0.008560895919799805,0,0,0,0,0,0
SVC_high_low_6D,9,49,42,8,1,0.91,0.9181966544267646,0.91,0.84,0.9095568284594512,0.008427143096923828,0,0,0,0,0,0
SVC_high_low_6D,10,46,35,15,4,0.81,0.8257671290458177,0.81,0.7,0.8076728413807066,0.008519172668457031,0,0,0,0,0,0
SVC_high_low_6D_retrained,6_retrained,46,35,15,4,0.81,0.8257671290458177,0.81,0.7,0.8076728413807066,0.00818777084350586,0,0,0,0,0,0
SVC_high_low_7D,1,46,44,6,4,0.9,0.9006410256410255,0.9,0.88,0.8999599839935974,0.008652210235595703,0,0,0,0,0,0
SVC_high_low_7D,2,47,36,14,3,0.83,0.8467843631778058,0.83,0.72,0.8279178054458953,0.008160591125488281,0,0,0,0,0,0
SVC_high_low_7D,3,49,38,12,1,0.87,0.8888188314417823,0.87,0.76,0.8684077335762729,0.00867605209350586,0,0,0,0,0,0
SVC_high_low_7D,4,48,35,15,2,0.83,0.853925353925354,0.83,0.7,0.8270776116366596,0.008543968200683594,0,0,0,0,0,0
SVC_high_low_7D,5,46,35,15,4,0.81,0.8257671290458177,0.81,0.7,0.8076728413807066,0.008311986923217773,0,0,0,0,0,0
SVC_high_low_7D,6,50,42,8,0,0.92,0.9310344827586207,0.92,0.84,0.9194847020933977,0.008441925048828125,0,0,0,0,0,0
SVC_high_low_7D,7,49,35,15,1,0.84,0.8689236111111112,0.84,0.7,0.8368013055895552,0.008152008056640625,0,0,0,0,0,0
SVC_high_low_7D,8,49,38,12,1,0.87,0.8888188314417823,0.87,0.76,0.8684077335762729,0.009516239166259766,0,0,0,0,0,0
SVC_high_low_7D,9,49,42,8,1,0.91,0.9181966544267646,0.91,0.84,0.9095568284594512,0.008577108383178711,0,0,0,0,0,0
SVC_high_low_7D,10,46,35,15,4,0.81,0.8257671290458177,0.81,0.7,0.8076728413807066,0.008348941802978516,0,0,0,0,0,0
SVC_high_low_7D_retrained,6_retrained,46,35,15,4,0.81,0.8257671290458177,0.81,0.7,0.8076728413807066,0.008598089218139648,0,0,0,0,0,0
SVC_high_low_8D,1,46,45,5,4,0.91,0.9101640656262506,0.91,0.9,0.90999099909991,0.007666826248168945,0,0,0,0,0,0
SVC_high_low_8D,2,47,41,9,3,0.88,0.885551948051948,0.88,0.82,0.8795664391810518,0.007858753204345703,0,0,0,0,0,0
SVC_high_low_8D,3,49,40,10,1,0.89,0.9030591153369162,0.89,0.8,0.8891017239641092,0.0073893070220947266,0,0,0,0,0,0
SVC_high_low_8D,4,48,35,15,2,0.83,0.853925353925354,0.83,0.7,0.8270776116366596,0.007051944732666016,0,0,0,0,0,0
SVC_high_low_8D,5,46,38,12,4,0.84,0.8489326765188835,0.84,0.76,0.8389694041867954,0.007014036178588867,0,0,0,0,0,0
SVC_high_low_8D,6,50,42,8,0,0.92,0.9310344827586207,0.92,0.84,0.9194847020933977,0.007501125335693359,0,0,0,0,0,0
SVC_high_low_8D,7,49,39,11,1,0.88,0.8958333333333335,0.88,0.78,0.8787878787878788,0.007226228713989258,0,0,0,0,0,0
SVC_high_low_8D,8,49,39,11,1,0.88,0.8958333333333335,0.88,0.78,0.8787878787878788,0.007250070571899414,0,0,0,0,0,0
SVC_high_low_8D,9,49,44,6,1,0.93,0.9343434343434344,0.93,0.88,0.9298245614035088,0.0075702667236328125,0,0,0,0,0,0
SVC_high_low_8D,10,46,37,13,4,0.83,0.8410500206696984,0.83,0.74,0.8286117552172598,0.007164955139160156,0,0,0,0,0,0
SVC_high_low_8D_retrained,9_retrained,45,39,11,5,0.84,0.8449675324675325,0.84,0.78,0.8394219189080689,0.0075757503509521484,0,0,0,0,0,0
SVC_high_low_9D,1,46,45,5,4,0.91,0.9101640656262506,0.91,0.9,0.90999099909991,0.008237123489379883,0,0,0,0,0,0
SVC_high_low_9D,2,47,41,9,3,0.88,0.885551948051948,0.88,0.82,0.8795664391810518,0.007868051528930664,0,0,0,0,0,0
SVC_high_low_9D,3,49,40,10,1,0.89,0.9030591153369162,0.89,0.8,0.8891017239641092,0.007667064666748047,0,0,0,0,0,0
SVC_high_low_9D,4,48,35,15,2,0.83,0.853925353925354,0.83,0.7,0.8270776116366596,0.007378101348876953,0,0,0,0,0,0
SVC_high_low_9D,5,46,38,12,4,0.84,0.8489326765188835,0.84,0.76,0.8389694041867954,0.007462978363037109,0,0,0,0,0,0
SVC_high_low_9D,6,50,42,8,0,0.92,0.9310344827586207,0.92,0.84,0.9194847020933977,0.007966995239257812,0,0,0,0,0,0
SVC_high_low_9D,7,49,39,11,1,0.88,0.8958333333333335,0.88,0.78,0.8787878787878788,0.007575035095214844,0,0,0,0,0,0
SVC_high_low_9D,8,49,39,11,1,0.88,0.8958333333333335,0.88,0.78,0.8787878787878788,0.007778167724609375,0,0,0,0,0,0
SVC_high_low_9D,9,49,44,6,1,0.93,0.9343434343434344,0.93,0.88,0.9298245614035088,0.008377790451049805,0,0,0,0,0,0
SVC_high_low_9D,10,46,37,13,4,0.83,0.8410500206696984,0.83,0.74,0.8286117552172598,0.008567094802856445,0,0,0,0,0,0
SVC_high_low_9D_retrained,9_retrained,45,39,11,5,0.84,0.8449675324675325,0.84,0.78,0.8394219189080689,0.008265972137451172,0,0,0,0,0,0
SVC_high_low_10D,1,46,45,5,4,0.91,0.9101640656262506,0.91,0.9,0.90999099909991,0.009109020233154297,0,0,0,0,0,0
