Hardware,Dimension,TP,TN,FP,FN,Accuracy,Precision,Sensitivity,Specificity,F1 Score,Elapsed Time (s),Usage (s),Estimated Usage (s),Num Qubits,Median T1,Median T2,Median Read Out Error
,2.0,50.0,23.0,23.0,4.0,0.73,0.684931506849315,0.9259259259259259,0.5,0.7874015748031495,120.0606198310852,120.0606198310852,,,,,
,3.0,47.0,37.0,9.0,7.0,0.84,0.8392857142857143,0.8703703703703703,0.8043478260869565,0.8545454545454546,230.49780678749084,230.49780678749084,,,,,
,4.0,50.0,37.0,9.0,4.0,0.87,0.847457627118644,0.9259259259259259,0.8043478260869565,0.8849557522123893,372.37097692489624,372.37097692489624,,,,,
,5.0,49.0,41.0,5.0,5.0,0.9,0.9074074074074074,0.9074074074074074,0.8913043478260869,0.9074074074074074,565.1032462120056,565.1032462120056,,,,,
,6.0,48.0,41.0,5.0,6.0,0.89,0.9056603773584906,0.8888888888888888,0.8913043478260869,0.897196261682243,823.3885288238525,823.3885288238525,,,,,
,7.0,48.0,41.0,5.0,6.0,0.89,0.9056603773584906,0.8888888888888888,0.8913043478260869,0.897196261682243,1133.8356819152832,1133.8356819152832,,,,,
,8.0,46.0,40.0,6.0,8.0,0.86,0.8846153846153846,0.8518518518518519,0.8695652173913043,0.8679245283018868,1595.1890058517456,1595.1890058517456,,,,,
,9.0,46.0,41.0,5.0,8.0,0.87,0.9019607843137255,0.8518518518518519,0.8913043478260869,0.8761904761904761,2401.377566099167,2401.377566099167,,,,,
,10.0,45.0,44.0,2.0,9.0,0.89,0.9574468085106383,0.8333333333333334,0.9565217391304348,0.8910891089108911,3486.6172211170197,3486.6172211170197,,,,,
,11.0,44.0,44.0,2.0,10.0,0.88,0.9565217391304348,0.8148148148148148,0.9565217391304348,0.8800000000000001,11346.903362035751,11346.903362035751,,,,,
